wavelength transmission
658 0.265
659 0.467
660 0.621
661 0.819
662 1.34
663 2.73
664 6.41
665 15.3
666 31.6
667 52.5
668 71.3
669 83.9
670 90.1
671 91.8
672 91.9
673 92
674 91.8
675 91.6
676 90.9
677 90.3
678 89.8
679 89.2
680 88.4
681 87.8
682 87.8
683 87.3
684 82.5
685 70.8
686 54.1
687 36.7
688 22.3
689 12
690 5.12
691 2.57
692 1.2
693 0.616
694 0.349
695 0.218
696 0.144
