wavelength transmission
913 0.117
914 0.186
915 0.251
916 0.302
917 0.362
918 0.452
919 0.579
920 0.769
921 1.08
922 1.63
923 2.76
924 5.07
925 9.89
926 21.3
927 41.2
928 68.8
929 89.1
930 92.4
931 91.8
932 91.6
933 91.5
934 92.8
935 93.5
936 93.6
937 93.8
938 94.5
939 94.3
940 93.1
941 93.1
942 92.4
943 92.1
944 92.5
945 92
946 93
947 88.9
948 77.1
949 58.3
950 37
951 20.6
952 11.3
953 6.09
954 3.45
955 2.07
956 1.3
957 0.861
958 0.585
959 0.418
960 0.311
961 0.246
962 0.172
963 0.107
