wavelength transmission
511 0.112
512 0.192
513 0.339
514 0.627
515 1.25
516 2.63
517 5.78
518 12.5
519 24.8
520 41.7
521 58.7
522 70.5
523 76.3
524 78.1
525 78.7
526 79.3
527 79.6
528 79.4
529 78.7
530 77.8
531 76.8
532 74.4
533 67.9
534 54.8
535 36.9
536 20.7
537 9.55
538 4.67
539 2.15
540 1.03
541 0.508
542 0.262
543 0.141
