wavelength transmission
883 0.104
884 0.148
885 0.23
886 0.353
887 0.544
888 0.893
889 1.56
890 2.88
891 5.74
892 11.9
893 25.1
894 48.1
895 74.1
896 87.4
897 89.2
898 87
899 85.2
900 84.6
901 85.1
902 86.2
903 87.4
904 88.4
905 88.9
906 88.9
907 88.6
908 88.2
909 87.6
910 87.1
911 86.8
912 86.7
913 86.8
914 86.3
915 82.3
916 70.9
917 51.4
918 31.3
919 17.3
920 9.35
921 5.16
922 2.95
923 1.76
924 1.07
925 0.69
926 0.465
927 0.313
928 0.215
929 0.138
