wavelength transmission
732 0.102277
733 0.15454
734 0.226415
735 0.339365
736 0.558264
737 1.02506
738 2.12928
739 4.90825
740 11.9638
741 26.301
742 47.4899
743 68.5344
744 82.6442
745 89.6764
746 92.4978
747 93.5074
748 94.3938
749 94.996
750 95.2962
751 95.2482
752 95.307
753 95.3217
754 94.7173
755 94.1912
756 93.5864
757 92.5043
758 90.8361
759 86.4381
760 77.1448
761 62.4145
762 45.7465
763 30.531
764 19.441
765 11.7194
766 6.65467
767 3.13999
768 1.8217
769 0.946122
770 0.506699
771 0.286106
772 0.176715
773 0.116871
